Video Title,Author_Name,Like_Count,Comment
Psyco M - Plume,@kanon6003,0,راني موالف بذل
Psyco M - Plume,@kanon6003,0,تجي راني نقارعلك
Psyco M - Plume,@kanon6003,0,تبغني وديريلي هاك خسارا عليك
Psyco M - Plume,@kanon6003,0,لبارح انا طلعت فوق قارعتلك ونتي حشيتيهالي رحتي من بانتلي راكي تزعقي عليا
Psyco M - Plume,@kanon6003,0,نبغيك
Psyco M - Plume,@kanon6003,0,سمحيلي حبي
Psyco M - Plume,@kanon6003,0,ارواحي نوال ديني معاك
Psyco M - Plume,@kanon6003,0,علبالكي بلي ضلمتيني
Psyco M - Plume,@kanon6003,0,قلبي بيض الله غالب
Psyco M - Plume,@kanon6003,0,بصح راكي شافتني ارواحي ومتزديش تعاودي تدخلي عند كوميساريا
Psyco M - Plume,@kanon6003,0,مشي بنادم انا
Psyco M - Plume,@kanon6003,0,شاراكي حاسبتني كلب
Psyco M - Plume,@kanon6003,0,كي حقرتيني
Psyco M - Plume,@kanon6003,0,انا مشفيتكش مين دخلت لسبيطار تع مهابيل ودار شرع وبكيت شحال من خطرا عليك
Psyco M - Plume,@kanon6003,0,زعما غادي تشفيني مين رحتي
Psyco M - Plume,@lmpsy3052,1,10/07/2023
Psyco M - Plume,@wejdenmefteh9545,0,2023
Psyco M - Plume,@tawfikhammou3220,0,عن جد واو !!
Psyco M - Plume,@user-zq4by1pr9y,0,2023❤️🔥
Psyco M - Plume,@user-pd7gz9hg4f,0,we still listen to this masterpiece
Psyco M - Plume,@yessinebk6929,0,2023 <br>Barcha wji3a madawat 💔
Psyco M - Plume,@user-kq4qv4io6z,0,rak tdamer f twensa tkhayel ensen zayet yasma ghneek berasmi ytih tiha khayba badel chwaya badel
Psyco M - Plume,@bilelamri8223,0,شكون مازال يسمع فها 2023 ❤
Psyco M - Plume,@rahmarose9691,0,2 juillet 2023 💔
Psyco M - Plume,@am_eell,1,1 juillet 2023.. The best ❤
Psyco M - Plume,@jbelibrahim2475,0,Chkon Mazel yesma3 2023??
Psyco M - Plume,@adimos50,2,2023
Psyco M - Plume,@user-pd7gz9hg4f,0,m3alem sa7bi
Psyco M - Plume,@jouiniseifeddine7081,2,"لن يموت القلب يا بسيكو، و إن كانت ظلمات ثلاث، سنقول لاللطيف، لا إله إلا أنت سبحانك إنا كنا من الظالمين، سنحدثهم بنعمته، سينقذنا من الأوهام من الزمان، سنحتفظ برحمته بالجمر في كفوف أيدينا، ستذهب الشمس و الشطآن و القمم و نبقى هنا كي يزول الألم، أحلى بسيكو😅"
Psyco M - Plume,@fetouifedya2849,0,2023 jun ❤
Psyco M - Plume,@amenattig1606,0,2023
Psyco M - Plume,@z2mvan711,0,🌛
Psyco M - Plume,@NesrinZarzisein,0,2023❤❤❤
Psyco M - Plume,@pikapika-ds6en,0,2023  and i still listen to this song
Psyco M - Plume,@heifabellaw524,0,نعوتفي
Psyco M - Plume,@iYo_imen88,0,2023 🎵🤍
Psyco M - Plume,@attiawassim9544,0,19/06/2023 🥲
Psyco M - Plume,@user-xs8bp9cz5u,0,18/06/2023 💔
